Class,CBO,DIT,LOC
"org.jboss.as.ee.component.interceptors.InterceptorOrder.View",20,1,33
"org.jboss.as.ee.component.interceptors.InvocationType",19,n/a,32
"org.jboss.as.ee.component.interceptors.OrderedItemContainer",4,1,34
"org.jboss.as.ee.component.interceptors.UserInterceptorFactory",6,1,29
"org.jboss.as.ee.concurrent.ConcurrentContext",16,1,88
"org.jboss.as.ee.concurrent.ConcurrentContext.ChainedResetContextHandle",4,1,27
"org.jboss.as.ee.concurrent.ConcurrentContext.ChainedSetupContextHandle",9,1,115
"org.jboss.as.ee.concurrent.ConcurrentContextInterceptor",2,1,20
"org.jboss.as.ee.concurrent.ConcurrentContextSetupAction",2,1,28
"org.jboss.as.ee.concurrent.ContextServiceImpl",5,2,41
"org.jboss.as.ee.concurrent.ControlPointUtils",10,1,47
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledCallable",2,1,20
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledManagedCallable",3,2,15
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledManagedRunnable",2,2,15
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledManagedTask",3,1,19
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledManagedTaskListener",1,1,25
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledRunnable",1,1,20
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledScheduledCallable",3,1,31
"org.jboss.as.ee.concurrent.ControlPointUtils.ControlledScheduledRunnable",2,1,32
"org.jboss.as.ee.concurrent.DefaultContextSetupProviderImpl",6,1,29
"org.jboss.as.ee.concurrent.ManagedExecutorServiceImpl",4,4,30
"org.jboss.as.ee.concurrent.ManagedScheduledExecutorServiceImpl",7,4,56
"org.jboss.as.ee.concurrent.ManagedScheduledExecutorServiceImpl.CancellableTrigger",1,1,23
"org.jboss.as.ee.concurrent.ServiceTransactionSetupProvider",2,1,38
"org.jboss.as.ee.concurrent.deployers.EEConcurrentContextProcessor",25,1,73
"org.jboss.as.ee.concurrent.deployers.EEConcurrentDefaultBindingProcessor",14,1,60
"org.jboss.as.ee.concurrent.deployers.injection.ContextServiceResourceReferenceProcessor",5,1,18
"org.jboss.as.ee.concurrent.deployers.injection.ManagedExecutorServiceResourceReferenceProcessor",5,1,18
"org.jboss.as.ee.concurrent.deployers.injection.ManagedScheduledExecutorServiceResourceReferenceProcessor",5,1,18
"org.jboss.as.ee.concurrent.deployers.injection.ManagedThreadFactoryResourceReferenceProcessor",5,1,18
"org.jboss.as.ee.concurrent.handle.ClassLoaderContextHandleFactory",5,1,31
"org.jboss.as.ee.concurrent.handle.ClassLoaderContextHandleFactory.ClassLoaderResetContextHandle",4,1,21
"org.jboss.as.ee.concurrent.handle.ClassLoaderContextHandleFactory.ClassLoaderSetupContextHandle",5,1,23
"org.jboss.as.ee.concurrent.handle.NamingContextHandleFactory",5,1,33
"org.jboss.as.ee.concurrent.handle.NamingContextHandleFactory.NamingContextHandle",6,1,38
"org.jboss.as.ee.concurrent.handle.NullContextHandle",3,1,23
"org.jboss.as.ee.concurrent.handle.OtherEESetupActionsContextHandleFactory",5,1,31
"org.jboss.as.ee.concurrent.handle.OtherEESetupActionsContextHandleFactory.OtherEESetupActionsResetContextHandle",4,1,30
"org.jboss.as.ee.concurrent.handle.OtherEESetupActionsContextHandleFactory.OtherEESetupActionsSetupContextHandle",5,1,32
"org.jboss.as.ee.concurrent.handle.SecurityContextHandleFactory",5,1,31
"org.jboss.as.ee.concurrent.handle.SecurityContextHandleFactory.SecurityResetContextHandle",4,1,27
"org.jboss.as.ee.concurrent.handle.SecurityContextHandleFactory.SecuritySetupContextHandle",6,1,42
"org.jboss.as.ee.concurrent.service.ConcurrentContextService",3,1,27
"org.jboss.as.ee.concurrent.service.ConcurrentServiceNames",10,1,37
"org.jboss.as.ee.concurrent.service.ContextServiceService",4,2,42
"org.jboss.as.ee.concurrent.service.EEConcurrentAbstractService",11,1,43
"org.jboss.as.ee.concurrent.service.ManagedExecutorServiceService",4,2,94
"org.jboss.as.ee.concurrent.service.ManagedScheduledExecutorServiceService",4,2,89
"org.jboss.as.ee.concurrent.service.ManagedThreadFactoryService",3,2,40
"org.jboss.as.ee.managedbean.component.ManagedBeanComponentDescription",7,2,21
"org.jboss.as.ee.managedbean.component.ManagedBeanCreateInterceptor",4,1,25
"org.jboss.as.ee.managedbean.component.ManagedBeanResourceReferenceProcessor",5,1,23
"org.jboss.as.ee.managedbean.processors.JavaEEDependencyProcessor",1,1,56
"org.jboss.as.ee.managedbean.processors.ManagedBeanAnnotationProcessor",17,1,90
"org.jboss.as.ee.managedbean.processors.ManagedBeanSubDeploymentMarkingProcessor",3,1,34
"org.jboss.as.ee.metadata.AbstractEEAnnotationProcessor",9,1,39
"org.jboss.as.ee.metadata.AnnotationMetadata",1,1,19
"org.jboss.as.ee.metadata.ClassAnnotationInformation",25,1,31
"org.jboss.as.ee.metadata.ClassAnnotationInformationFactory",40,1,145
"org.jboss.as.ee.metadata.ClassAnnotationInformationFactory.TargetAnnotation",1,1,14
"org.jboss.as.ee.metadata.EJBClientDescriptorMetaData",9,1,99
"org.jboss.as.ee.metadata.EJBClientDescriptorMetaData.ClusterConfig",6,2,44
"org.jboss.as.ee.metadata.EJBClientDescriptorMetaData.ClusterNodeConfig",5,2,21
"org.jboss.as.ee.metadata.EJBClientDescriptorMetaData.CommonConnectionConfig",5,1,37
"org.jboss.as.ee.metadata.EJBClientDescriptorMetaData.RemotingReceiverConfiguration",3,1,41
"org.jboss.as.ee.metadata.MetadataCompleteMarker",20,1,17
"org.jboss.as.ee.metadata.MethodAnnotationAggregator",17,1,54
"org.jboss.as.ee.metadata.RuntimeAnnotationInformation",11,1,19
"org.jboss.as.ee.metadata.property.Attachments",10,1,13
"org.jboss.as.ee.metadata.property.DeploymentPropertiesProcessor",3,1,31
"org.jboss.as.ee.metadata.property.DeploymentPropertyResolverProcessor",2,1,22
"org.jboss.as.ee.metadata.property.PropertyResolverProcessor",2,1,13
"org.jboss.as.ee.metadata.property.SystemPropertyResolverProcessor",2,1,11
"org.jboss.as.ee.metadata.property.VaultPropertyResolver",1,1,15
"org.jboss.as.ee.metadata.property.VaultPropertyResolverProcessor",3,1,14
"org.jboss.as.ee.naming.ApplicationContextProcessor",9,1,35
"org.jboss.as.ee.naming.Attachments",4,1,10
"org.jboss.as.ee.naming.ContextInjectionSource",9,2,30
"org.jboss.as.ee.naming.InApplicationClientBindingProcessor",11,1,44
"org.jboss.as.ee.naming.InjectedEENamespaceContextSelector",6,2,63
"org.jboss.as.ee.naming.InstanceNameBindingProcessor",14,1,63
"org.jboss.as.ee.naming.JavaNamespaceSetup",5,1,32
"org.jboss.as.ee.naming.ModuleContextProcessor",14,1,54
"org.jboss.as.ee.resource.definition.ResourceDefinitionAnnotationProcessor",13,1,68
"org.jboss.as.ee.resource.definition.ResourceDefinitionAnnotationProcessor.AnnotationElement",7,1,59
"org.jboss.as.ee.resource.definition.ResourceDefinitionDescriptorProcessor",13,2,18
"org.jboss.as.ee.resource.definition.ResourceDefinitionDescriptorProcessor.ResourceDefinitionInjectionSources",9,1,9
"org.jboss.as.ee.resource.definition.ResourceDefinitionInjectionSource",21,2,76
"org.jboss.as.ee.structure.AnnotationPropertyReplacementProcessor",3,1,22
"org.jboss.as.ee.structure.AppJBossAllParser",3,1,13
"org.jboss.as.ee.structure.ApplicationClientDeploymentProcessor",4,1,68
"org.jboss.as.ee.structure.Attachments",36,1,40
"org.jboss.as.ee.structure.ComponentAggregationProcessor",9,1,68
"org.jboss.as.ee.structure.DeploymentType",64,n/a,3
"org.jboss.as.ee.structure.DeploymentTypeMarker",61,1,24
"org.jboss.as.ee.structure.DescriptorPropertyReplacementProcessor",3,1,23
"org.jboss.as.ee.structure.EJBAnnotationPropertyReplacement",10,1,18
"org.jboss.as.ee.structure.EJBClientDescriptor10Parser",8,1,220
"org.jboss.as.ee.structure.EJBClientDescriptor11Parser",10,2,299
"org.jboss.as.ee.structure.EJBClientDescriptor12Parser",8,3,121
"org.jboss.as.ee.structure.EJBClientDescriptor13Parser",7,4,91
"org.jboss.as.ee.structure.EJBClientDescriptorParsingProcessor",9,1,122
"org.jboss.as.ee.structure.EJBClientDescriptorXMLAttribute",4,n/a,46
"org.jboss.as.ee.structure.EJBClientDescriptorXMLElement",4,n/a,35
"org.jboss.as.ee.structure.EarDependencyProcessor",3,1,18
"org.jboss.as.ee.structure.EarInitializationProcessor",3,1,19
"org.jboss.as.ee.structure.EarMetaDataParsingProcessor",10,1,78
"org.jboss.as.ee.structure.EarStructureProcessor",7,1,223
"org.jboss.as.ee.structure.EjbClientDescriptorPropertyReplacement",3,1,17
"org.jboss.as.ee.structure.EjbJarDeploymentProcessor",3,1,57
"org.jboss.as.ee.structure.GlobalModuleDependencyProcessor",4,1,38
"org.jboss.as.ee.structure.InitializeInOrderProcessor",2,1,55
"org.jboss.as.ee.structure.JBossDescriptorPropertyReplacement",17,1,17
"org.jboss.as.ee.structure.SpecDescriptorPropertyReplacement",9,1,17
"org.jboss.as.ee.subsystem.Attribute",11,n/a,60
"org.jboss.as.ee.subsystem.BeanValidationProfileParsingCompletionHandler",2,1,59
"org.jboss.as.ee.subsystem.ContextServiceAdd",6,2,25
"org.jboss.as.ee.subsystem.ContextServiceRemove",3,3,13
"org.jboss.as.ee.subsystem.ContextServiceResourceDefinition",8,2,30
"org.jboss.as.ee.subsystem.DefaultBindingsAdd",4,3,43
"org.jboss.as.ee.subsystem.DefaultBindingsResourceDefinition",9,2,49
"org.jboss.as.ee.subsystem.DefaultBindingsResourceDefinition.WriteAttributeHandler",2,2,32
"org.jboss.as.ee.subsystem.EEJndiViewExtension",13,1,103
"org.jboss.as.ee.subsystem.EESubsystemParser10",7,1,106
"org.jboss.as.ee.subsystem.EESubsystemParser11",7,1,134
"org.jboss.as.ee.subsystem.EESubsystemParser12",7,1,170
"org.jboss.as.ee.subsystem.EESubsystemParser20",13,1,490
"org.jboss.as.ee.subsystem.EESubsystemParser40",13,1,489
"org.jboss.as.ee.subsystem.EESubsystemXmlPersister",12,1,113
"org.jboss.as.ee.subsystem.EeExtension",24,1,83
"org.jboss.as.ee.subsystem.EeExtension.GlobalModulesRejecterConverter",3,2,54
"org.jboss.as.ee.subsystem.EeExtension.JBossDescriptorPropertyReplacementRejectChecker",2,2,30
"org.jboss.as.ee.subsystem.EeSubsystemAdd",56,3,104
"org.jboss.as.ee.subsystem.EeSubsystemRootResource",17,2,57
"org.jboss.as.ee.subsystem.EeWriteAttributeHandler",6,2,57
"org.jboss.as.ee.subsystem.Element",8,n/a,49
"org.jboss.as.ee.subsystem.GlobalModulesDefinition",18,1,66
"org.jboss.as.ee.subsystem.GlobalModulesDefinition.GlobalModule",2,1,24
"org.jboss.as.ee.subsystem.ManagedExecutorServiceAdd",6,2,73
"org.jboss.as.ee.subsystem.ManagedExecutorServiceRemove",3,3,13
"org.jboss.as.ee.subsystem.ManagedExecutorServiceResourceDefinition",13,2,98
"org.jboss.as.ee.subsystem.ManagedExecutorServiceResourceDefinition.ExecutorQueueValidationStepHandler",4,1,52
"org.jboss.as.ee.subsystem.ManagedExecutorServiceResourceDefinition.ValidatingWriteHandler",2,3,10
"org.jboss.as.ee.subsystem.ManagedScheduledExecutorServiceAdd",5,2,48
"org.jboss.as.ee.subsystem.ManagedScheduledExecutorServiceRemove",3,3,13
"org.jboss.as.ee.subsystem.ManagedScheduledExecutorServiceResourceDefinition",8,2,84
"org.jboss.as.ee.subsystem.ManagedThreadFactoryAdd",5,2,25
"org.jboss.as.ee.subsystem.ManagedThreadFactoryRemove",3,3,13
"org.jboss.as.ee.subsystem.ManagedThreadFactoryResourceDefinition",8,2,38
"org.jboss.as.ee.subsystem.Namespace",8,n/a,48
"org.jboss.as.ee.utils.ClassLoadingUtils",17,1,19
"org.jboss.as.ee.utils.DescriptorUtils",5,1,168
"org.jboss.as.ee.utils.InjectionUtils",4,1,55
"org.jboss.as.ee.weld.InjectionTargetDefiningAnnotations",2,1,12
"org.jboss.as.ee.weld.WeldDeploymentMarker",23,1,38
"org.jboss.as.ejb3.EJBMethodIdentifier",1,1,53
"org.jboss.as.ejb3.PrimitiveClassLoaderUtil",1,1,62
"org.jboss.as.ejb3.cache.CacheFactoryBuilderRegistryService",7,1,32
"org.jboss.as.ejb3.cache.CacheFactoryBuilderService",12,1,28
"org.jboss.as.ejb3.cache.CacheInfo",5,1,13
"org.jboss.as.ejb3.cache.DelegateCacheFactoryBuilderService",5,2,17
"org.jboss.as.ejb3.cache.EJBBoundCacheMetaData",2,5,15
"org.jboss.as.ejb3.cache.EJBBoundCacheParser",2,4,40
"org.jboss.as.ejb3.cache.distributable.DistributableCache",17,1,165
"org.jboss.as.ejb3.cache.distributable.DistributableCacheFactoryBuilderService",16,2,54
"org.jboss.as.ejb3.cache.distributable.DistributableCacheFactoryService",15,1,37
"org.jboss.as.ejb3.cache.distributable.GroupIdentifierFactory",1,1,11
"org.jboss.as.ejb3.cache.distributable.RemoveListenerAdapter",6,1,18
"org.jboss.as.ejb3.cache.simple.SimpleCache",12,1,132
"org.jboss.as.ejb3.cache.simple.SimpleCache.Entry",2,1,16
"org.jboss.as.ejb3.cache.simple.SimpleCache.RemoveTask",2,1,13
"org.jboss.as.ejb3.cache.simple.SimpleCacheFactoryBuilderService",11,2,36
"org.jboss.as.ejb3.cache.simple.SimpleCacheFactoryService",13,2,31
"org.jboss.as.ejb3.clustering.ClusteredSingletonServiceCreator",4,2,22
"org.jboss.as.ejb3.clustering.ClusteringSchema",3,n/a,27
"org.jboss.as.ejb3.clustering.EJBBoundClusteringMetaData",2,5,14
"org.jboss.as.ejb3.clustering.EJBBoundClusteringMetaDataParser",5,4,55
"org.jboss.as.ejb3.component.ContainerInterceptorMethodInterceptorFactory",3,1,27
"org.jboss.as.ejb3.component.ContainerInterceptorMethodInterceptorFactory.ContainerInterceptorMethodInterceptor",2,1,33
"org.jboss.as.ejb3.component.DefaultAccessTimeoutService",10,1,29
"org.jboss.as.ejb3.component.EJBBusinessMethod",5,1,54
"org.jboss.as.ejb3.component.EJBComponent",69,2,432
"org.jboss.as.ejb3.component.EJBComponentCreateService",26,2,267
"org.jboss.as.ejb3.component.EJBComponentCreateServiceFactory",8,1,12
"org.jboss.as.ejb3.component.EJBComponentDescription",124,2,714
"org.jboss.as.ejb3.component.EJBComponentDescription.Ejb2ViewTypeConfigurator",6,1,10
"org.jboss.as.ejb3.component.EJBComponentDescription.EjbJarConfigurationConfigurator",8,1,20
"org.jboss.as.ejb3.component.EJBComponentDescription.SecurityDomainDependencyConfigurator",7,1,24
"org.jboss.as.ejb3.component.EJBComponentDescription.ToStringMethodInterceptor",3,1,20
"org.jboss.as.ejb3.component.EJBComponentUnavailableException",2,5,19
"org.jboss.as.ejb3.component.EJBContainerInterceptorsViewConfigurator",18,1,142
"org.jboss.as.ejb3.component.EJBContainerInterceptorsViewConfigurator.InterceptorClassDescriptionTraversal",13,2,77
"org.jboss.as.ejb3.component.EJBUtilities",10,1,171
"org.jboss.as.ejb3.component.EJBValidationConfigurator",6,1,36
"org.jboss.as.ejb3.component.EJBViewConfiguration",7,2,15
"org.jboss.as.ejb3.component.EJBViewDescription",32,2,96
"org.jboss.as.ejb3.component.Ejb2xViewType",3,n/a,14
"org.jboss.as.ejb3.component.EjbComponentInstance",12,2,26
"org.jboss.as.ejb3.component.EjbHomeViewDescription",6,3,15
"org.jboss.as.ejb3.component.InvokeMethodOnTargetInterceptor",3,1,25
"org.jboss.as.ejb3.component.MethodIntf",34,n/a,47
"org.jboss.as.ejb3.component.MethodIntfHelper",4,1,20
"org.jboss.as.ejb3.component.MethodTransactionAttributeKey",3,1,32
"org.jboss.as.ejb3.component.RemoteHomeViewInstanceFactory",5,1,20
"org.jboss.as.ejb3.component.TimerServiceRegistry",3,1,36
"org.jboss.as.ejb3.component.allowedmethods.AllowedMethodsInformation",25,1,102
"org.jboss.as.ejb3.component.allowedmethods.AllowedMethodsInformation.DeniedSyncMethodKey",3,1,23
"org.jboss.as.ejb3.component.allowedmethods.DeniedMethodKey",8,1,32
"org.jboss.as.ejb3.component.allowedmethods.MethodType",14,n/a,25
"org.jboss.as.ejb3.component.concurrent.EJBContextHandleFactory",4,1,30
"org.jboss.as.ejb3.component.concurrent.EJBContextHandleFactory.EJBContextHandle",5,1,30
"org.jboss.as.ejb3.component.interceptors.AbstractEJBInterceptor",11,1,12
"org.jboss.as.ejb3.component.interceptors.AdditionalSetupInterceptor",1,1,38
"org.jboss.as.ejb3.component.interceptors.AsyncFutureInterceptorFactory",15,1,137
"org.jboss.as.ejb3.component.interceptors.AsyncInvocationTask",4,1,109
"org.jboss.as.ejb3.component.interceptors.CancellationFlag",7,2,13
"org.jboss.as.ejb3.component.interceptors.ComponentTypeIdentityInterceptorFactory",6,1,15
"org.jboss.as.ejb3.component.interceptors.ComponentTypeIdentityInterceptorFactory.ProxyTypeEqualsInterceptor",2,1,23
"org.jboss.as.ejb3.component.interceptors.CurrentInvocationContextInterceptor",5,1,15
"org.jboss.as.ejb3.component.interceptors.EjbExceptionTransformingInterceptorFactories",5,1,84
"org.jboss.as.ejb3.component.interceptors.EjbMetadataInterceptor",3,1,27
"org.jboss.as.ejb3.component.interceptors.GetHomeInterceptorFactory",4,1,24
"org.jboss.as.ejb3.component.interceptors.HomeRemoveInterceptor",1,1,16
"org.jboss.as.ejb3.component.interceptors.LogDiagnosticContextRecoveryInterceptor",2,1,53
"org.jboss.as.ejb3.component.interceptors.LogDiagnosticContextStorageInterceptor",2,1,40
"org.jboss.as.ejb3.component.interceptors.LoggingInterceptor",7,1,43
"org.jboss.as.ejb3.component.interceptors.NonPooledEJBComponentInstanceAssociatingInterceptor",6,2,51
"org.jboss.as.ejb3.component.interceptors.SessionBeanHomeInterceptorFactory",5,1,39
"org.jboss.as.ejb3.component.interceptors.ShutDownInterceptorFactory",5,1,97
"org.jboss.as.ejb3.component.interceptors.StoredLogDiagnosticContext",2,1,18
"org.jboss.as.ejb3.component.invocationmetrics.ExecutionTimeInterceptor",5,2,24
"org.jboss.as.ejb3.component.invocationmetrics.InvocationMetrics",8,1,101
"org.jboss.as.ejb3.component.invocationmetrics.InvocationMetrics.Values",2,1,19
"org.jboss.as.ejb3.component.invocationmetrics.WaitTimeInterceptor",3,2,14
"org.jboss.as.ejb3.component.messagedriven.DefaultResourceAdapterService",3,1,26
"org.jboss.as.ejb3.component.messagedriven.MdbDeliveryControllerService",2,1,22
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenAllowedMethodsInformation",5,2,22
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenBeanSetMessageDrivenContextInterceptor",3,1,18
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponent",25,3,232
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponentCreateService",16,3,109
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponentCreateServiceFactory",6,2,16
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponentDescription",52,3,209
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponentDescription.PoolInjectingConfigurator",6,1,21
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponentDescription.ResourceAdapterInjectingConfiguration",4,1,13
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponentInstance",6,3,27
"org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponentInstanceAssociatingFactory",7,2,23
"org.jboss.as.ejb3.component.pool.PoolConfig",14,1,16
"org.jboss.as.ejb3.component.pool.PooledInstanceInterceptor",7,2,45
"org.jboss.as.ejb3.component.pool.StrictMaxPoolConfig",7,2,48
"org.jboss.as.ejb3.component.pool.StrictMaxPoolConfigService",10,1,68
"org.jboss.as.ejb3.component.pool.StrictMaxPoolConfigService.Derive",4,n/a,1
"org.jboss.as.ejb3.component.session.InvalidRemoveExceptionMethodInterceptor",2,1,12
"org.jboss.as.ejb3.component.session.NotBusinessMethodInterceptor",2,1,13
"org.jboss.as.ejb3.component.session.SessionBeanAllowedMethodsInformation",7,2,18
"org.jboss.as.ejb3.component.session.SessionBeanComponent",14,3,62
"org.jboss.as.ejb3.component.session.SessionBeanComponentCreateService",18,3,99
"org.jboss.as.ejb3.component.session.SessionBeanComponentDescription",58,3,318
"org.jboss.as.ejb3.component.session.SessionBeanComponentDescription.SessionBeanType",5,n/a,5
"org.jboss.as.ejb3.component.session.SessionBeanComponentInstance",9,3,31
"org.jboss.as.ejb3.component.session.SessionBeanObjectViewConfigurator",25,1,87
"org.jboss.as.ejb3.component.session.SessionBeanSetSessionContextMethodInvocationInterceptor",4,1,23
"org.jboss.as.ejb3.component.session.StatelessRemoteViewInstanceFactory",6,1,20
"org.jboss.as.ejb3.component.session.StatelessSerializedProxy",3,1,26
"org.jboss.as.ejb3.component.session.StatelessWriteReplaceInterceptor",3,1,18
"org.jboss.as.ejb3.component.singleton.SingletonAllowedMethodsInformation",6,3,18
"org.jboss.as.ejb3.component.singleton.SingletonComponent",20,4,142
"org.jboss.as.ejb3.component.singleton.SingletonComponentCreateService",7,4,26
"org.jboss.as.ejb3.component.singleton.SingletonComponentCreateServiceFactory",8,2,26
"org.jboss.as.ejb3.component.singleton.SingletonComponentDescription",46,4,170
"org.jboss.as.ejb3.component.singleton.SingletonComponentInstance",3,4,17
"org.jboss.as.ejb3.component.singleton.SingletonComponentInstanceAssociationInterceptor",5,2,20
"org.jboss.as.ejb3.component.stateful.CurrentSynchronizationCallback",5,1,18
"org.jboss.as.ejb3.component.stateful.CurrentSynchronizationCallback.CallbackType",6,n/a,5
"org.jboss.as.ejb3.component.stateful.EJBClientContextIdentifierObjectTable",2,1,25
"org.jboss.as.ejb3.component.stateful.EJBClientContextIdentifierObjectTable.EJBClientContextIdentifierWriter",2,1,11
"org.jboss.as.ejb3.component.stateful.EJBClientContextIdentifierResolver",2,1,19
"org.jboss.as.ejb3.component.stateful.MarshallingConfigurationRepositoryValue",6,1,27
"org.jboss.as.ejb3.component.stateful.MarshallingConfigurationRepositoryValue.MarshallingVersion",8,n/a,32
"org.jboss.as.ejb3.component.stateful.SerializableEJBProxyWithEJBClientContextIdentifier",2,1,25
"org.jboss.as.ejb3.component.stateful.SerializedCdiInterceptorsKey",4,1,7
"org.jboss.as.ejb3.component.stateful.SerializedStatefulSessionComponent",5,1,37
"org.jboss.as.ejb3.component.stateful.StatefulAllowedMethodsInformation",6,3,18
"org.jboss.as.ejb3.component.stateful.StatefulComponentCreateServiceFactory",19,2,48
"org.jboss.as.ejb3.component.stateful.StatefulComponentDescription",67,4,274
"org.jboss.as.ejb3.component.stateful.StatefulComponentDescription.StatefulRemoveMethod",4,1,29
"org.jboss.as.ejb3.component.stateful.StatefulComponentInstanceInterceptor",10,2,54
"org.jboss.as.ejb3.component.stateful.StatefulComponentSessionIdGeneratingInterceptor",7,1,26
"org.jboss.as.ejb3.component.stateful.StatefulIdentityInterceptor",4,1,37
"org.jboss.as.ejb3.component.stateful.StatefulIdentityInterceptor.SessionIdHolder",1,1,6
"org.jboss.as.ejb3.component.stateful.StatefulInitMethodInterceptor",4,1,35
"org.jboss.as.ejb3.component.stateful.StatefulRemoteViewInstanceFactory",7,1,28
"org.jboss.as.ejb3.component.stateful.StatefulRemoveDelegationInterceptor",3,1,15
"org.jboss.as.ejb3.component.stateful.StatefulRemoveInterceptor",11,1,71
"org.jboss.as.ejb3.component.stateful.StatefulSerializedProxy",4,1,28
"org.jboss.as.ejb3.component.stateful.StatefulSessionBeanClassTable",13,2,34
"org.jboss.as.ejb3.component.stateful.StatefulSessionBeanObjectViewConfigurator",10,2,15
"org.jboss.as.ejb3.component.stateful.StatefulSessionBeanSerializabilityChecker",6,1,23
"org.jboss.as.ejb3.component.stateful.StatefulSessionComponent",44,4,287
"org.jboss.as.ejb3.component.stateful.StatefulSessionComponentCreateService",21,4,144
"org.jboss.as.ejb3.component.stateful.StatefulSessionComponentInstance",27,4,159
"org.jboss.as.ejb3.component.stateful.StatefulSessionSynchronizationInterceptor",17,2,130
"org.jboss.as.ejb3.component.stateful.StatefulSessionSynchronizationInterceptor.Factory",3,2,10
"org.jboss.as.ejb3.component.stateful.StatefulSessionSynchronizationInterceptor.StatefulSessionSynchronization",5,1,62
"org.jboss.as.ejb3.component.stateful.StatefulTimeoutInfo",9,1,21
"org.jboss.as.ejb3.component.stateful.StatefulTransactionMarker",2,1,20
"org.jboss.as.ejb3.component.stateful.StatefulWriteReplaceInterceptor",2,1,16
"org.jboss.as.ejb3.component.stateful.StatefulWriteReplaceInterceptor.Factory",2,1,10
"org.jboss.as.ejb3.component.stateless.StatelessAllowedMethodsInformation",6,3,18
"org.jboss.as.ejb3.component.stateless.StatelessComponentCreateServiceFactory",12,2,20
"org.jboss.as.ejb3.component.stateless.StatelessComponentDescription",43,4,121
"org.jboss.as.ejb3.component.stateless.StatelessComponentDescription.PoolInjectingConfigurator",6,1,21
"org.jboss.as.ejb3.component.stateless.StatelessComponentInstanceAssociatingFactory",7,2,23
"org.jboss.as.ejb3.component.stateless.StatelessSessionBeanObjectViewConfigurator",9,2,15
"org.jboss.as.ejb3.component.stateless.StatelessSessionComponent",21,4,79
"org.jboss.as.ejb3.component.stateless.StatelessSessionComponentCreateService",10,4,32
"org.jboss.as.ejb3.component.stateless.StatelessSessionComponentInstance",3,4,17
"org.jboss.as.ejb3.concurrency.AccessTimeoutDetails",12,1,17
"org.jboss.as.ejb3.concurrency.ContainerManagedConcurrencyInterceptor",5,1,80
"org.jboss.as.ejb3.concurrency.ContainerManagedConcurrencyInterceptorFactory",5,2,26
"org.jboss.as.ejb3.concurrency.EJBReadWriteLock",5,1,78
"org.jboss.as.ejb3.concurrency.EJBReadWriteLock.ReadLock",1,1,71
"org.jboss.as.ejb3.concurrency.EJBReadWriteLock.WriteLock",1,1,73
"org.jboss.as.ejb3.context.CurrentInvocationContext",15,1,28
"org.jboss.as.ejb3.context.EJBContextImpl",10,1,72
"org.jboss.as.ejb3.context.EjbContextResourceReferenceProcessor",9,1,31
"org.jboss.as.ejb3.context.EjbContextResourceReferenceProcessor.EjbContextInjectionSource",4,2,12
"org.jboss.as.ejb3.context.MessageDrivenContext",4,2,12
"org.jboss.as.ejb3.context.Primitives",0,1,36
"org.jboss.as.ejb3.context.SessionContextImpl",12,2,81
"org.jboss.as.ejb3.deliveryactive.metadata.EJBBoundMdbDeliveryMetaData",3,5,22
"org.jboss.as.ejb3.deliveryactive.parser.EJBBoundMdbDeliveryMetaDataParser",2,4,39
"org.jboss.as.ejb3.deliveryactive.parser.EJBBoundMdbDeliveryMetaDataParser11",2,4,43
"org.jboss.as.ejb3.deployment.ApplicableMethodInformation",20,1,255
"org.jboss.as.ejb3.deployment.ApplicableMethodInformation.ArrayKey",1,1,30
"org.jboss.as.ejb3.deployment.ApplicableMethodInformation.PopulatingMap",3,3,14
"org.jboss.as.ejb3.deployment.ApplicationExceptionDescriptions",5,1,19
"org.jboss.as.ejb3.deployment.ApplicationExceptions",13,1,34
"org.jboss.as.ejb3.deployment.DeploymentModuleIdentifier",14,1,58
"org.jboss.as.ejb3.deployment.DeploymentRepository",23,1,106
"org.jboss.as.ejb3.deployment.DeploymentRepository.DeploymentHolder",2,1,7
"org.jboss.as.ejb3.deployment.EjbDeploymentAttachmentKeys",41,1,24
"org.jboss.as.ejb3.deployment.EjbDeploymentInformation",14,1,85
"org.jboss.as.ejb3.deployment.EjbJarDescription",17,1,80
"org.jboss.as.ejb3.deployment.EjbSecurityDeployer",6,2,21
"org.jboss.as.ejb3.deployment.ModuleDeployment",19,1,37
"org.jboss.as.ejb3.deployment.ModuleDeployment.ModuleDeploymentStartService",3,1,24
